dancer_id,dance_id,dance_key,waggle_run,stimulus,notes,waggle_directions,start_x,start_y,start_xy,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,source_batch
22b,22b_00028,2025-01-19__22b_00028,33,vertical,,"(-0.6316729511622358, 0.7752349855172893)",339,644,"(339, 644)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.631672951162236,0.775234985517289,219.173657970444,1799,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,34,vertical,,"(-0.26592899812581344, 0.9639926182060737)",391,675,"(391, 675)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.265928998125813,0.963992618206074,195.422161318739,1842,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,35,vertical,,"(-0.42905681456828765, 0.9032775043542898)",358,664,"(358, 664)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.429056814568288,0.90327750435429,205.407718108948,1884,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,36,vertical,,"(-0.5655283555515277, 0.8247288518459779)",358,678,"(358, 678)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.565528355551528,0.824728851845978,214.438989308804,1934,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,37,vertical,,"(-0.5665288228870652, 0.8240419241993676)",339,678,"(339, 678)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.566528822887065,0.824041924199368,214.508522987668,1988,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,38,vertical,,"(-0.22485950669875843, 0.9743911956946198)",369,656,"(369, 656)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.224859506698758,0.97439119569462,192.994616791917,2030,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00028,2025-01-19__22b_00028,39,vertical,,"(-0.43556092810428076, 0.9001592514155136)",189,635,"(189, 635)",22b_00028_waggle_annotations.csv,16:56:00,20250119,-0.435560928104281,0.900159251415514,205.820991974189,2106,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,1,vertical,,"(-0.5658424969124141, 0.8245133526438033)",317,618,"(317, 618)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.565842496912414,0.824513352643803,214.460816271372,1171,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,2,vertical,,"(0.6074501075707971, 0.7943578329771962)",343,634,"(343, 634)",22b_00030_waggle_annotations.csv,17:04:00,20250119,0.607450107570797,0.794357832977196,142.594643368591,1214,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
22b,22b_00030,2025-01-19__22b_00030,3,vertical,,"(-0.8297221102000094, 0.5581766923163699)",370,658,"(370, 658)",22b_00030_waggle_annotations.csv,17:04:00,20250119,-0.829722110200009,0.55817669231637,236.070202577939,1260,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00030.mp4,1,2025-01-19
