recording_type,source_file_type,source_batch,dance_key,dance_id,bee_id,date,time_dance,condition,aperture,orientation_method,waggle_run,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,declination_deg
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,15,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.9433123908373908,0.3319062115909338,250.61548432064217,258.97559180039985,351.6398925202423,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1142,963,"(1142, 963)",921,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,16,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.9910982348686418,-0.13313259871369815,277.6506509553594,258.97559180039985,18.67505915495957,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1147,947,"(1147, 947)",1011,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,17,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.9435999821328808,0.33108771302908097,250.6651914621736,258.97559180039985,351.68959966177374,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1175,967,"(1175, 967)",1107,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,18,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.7899866870150782,0.6131239958922996,232.18426739242685,258.97559180039985,333.208675592027,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1178,973,"(1178, 973)",1216,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,19,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.7327934916262993,0.6804510993672779,227.12109639666144,258.97559180039985,328.1455045962616,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1148,965,"(1148, 965)",1327,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,20,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.3656523724229935,0.9307514934403471,201.44773632710533,258.97559180039985,302.4721445267055,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1152,973,"(1152, 973)",1373,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00052,47y_00052,47y,20250127,17:58:00,10_deg,,direct_compass,21,47y_00052_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00052.mp4,-0.7976593312819867,0.6031082748717461,232.90716270295846,258.97559180039985,333.93157090255863,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1113,962,"(1113, 962)",1437,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00053,47y_00053,47y,20250127,17:58:00,10_deg,,direct_compass,1,47y_00053_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00053.mp4,-0.9701425001453319,0.24253562503633297,255.96375653207352,258.97559180039985,356.9881647316737,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1117,925,"(1117, 925)",129,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00053,47y_00053,47y,20250127,17:58:00,10_deg,,direct_compass,2,47y_00053_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00053.mp4,-0.8721430411136099,0.48925097428324454,240.70863782901574,258.97559180039985,341.7330460286159,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1170,935,"(1170, 935)",170,-21.27
tilted,annotator_csv,tilted_20250127,tilted_20250127__47y__47y_00053,47y_00053,47y,20250127,17:58:00,10_deg,,direct_compass,3,47y_00053_waggle_annotations.csv,/media/geko/VERBATIM HD/SA2025_dances/George/mp4/20250127/00053.mp4,-0.9516151461907613,0.3072923909574333,252.10386707496076,258.97559180039985,353.1282752745609,237.70559180039987,258.97559180039985,1.8807657209739175,10,ok,20250127/10_deg/27_calibration_00050.csv,20250127/10_deg/27_calibration_00050.csv,27_calibration_00050,20250127/10_deg/27_calibration_00050.csv,,,,,,,,1157,941,"(1157, 941)",213,-21.27
