dancer_id,source_batch,dance_key,dance_id,waggle_run,stimulus,waggle_directions,start_x,start_y,start_xy,notes,csv_file,time,date,direction_u,direction_v,video_angle_deg,start_frame,video_name,annotation_session,calibration_file,calibration_id,calibration_video_name,calibration_n_annotations,calibration_mean_north_deg,calibration_circular_sd_deg,calibration_R,declination_deg,true_north_video_deg,calibration_notes,waggle_true_bearing_deg
66b,2025-01-26,2025-01-26__66b_00028,66b_00028,1,,"(-0.9264665771223092, 0.3763770469559381)",958,902,"(958, 902)",,66b_00028_waggle_annotations.csv,,,-0.9264665771223092,0.3763770469559381,247.8905516562483,3083,E:\2026Trackathon\James\mp4\20250126\00028.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,357.1615516562483
66b,2025-01-26,2025-01-26__66b_00028,66b_00028,2,,"(-0.5812381937190965, 0.813733471206735)",978,910,"(978, 910)",,66b_00028_waggle_annotations.csv,,,-0.5812381937190965,0.813733471206735,215.5376777919744,3214,E:\2026Trackathon\James\mp4\20250126\00028.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,324.8086777919744
66b,2025-01-26,2025-01-26__66b_00028,66b_00028,3,,"(-0.996815278536125, 0.07974522228289)",975,851,"(975, 851)",,66b_00028_waggle_annotations.csv,,,-0.996815278536125,0.07974522228289,265.4260787400991,3247,E:\2026Trackathon\James\mp4\20250126\00028.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,14.697078740099101
66b,2025-01-26,2025-01-26__66b_00028,66b_00028,4,,"(-1.0, 0.0)",905,888,"(905, 888)",,66b_00028_waggle_annotations.csv,,,-1.0,0.0,270.0,3494,E:\2026Trackathon\James\mp4\20250126\00028.mp4,1,26_00024_waggle_annotations.csv,26_00024,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\Fereshteh\20250126\00024.mp4,10,229.459,1.904,0.9994,-21.27,250.729,,19.270999999999987
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,1,,"(0.9781059289848355, 0.2081076444648586)",545,704,"(545, 704)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.9781059289848356,0.2081076444648586,102.01147838636544,9,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,2,,"(0.9922778767136676, 0.12403473458920845)",568,715,"(568, 715)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.9922778767136676,0.1240347345892084,97.1250163489018,78,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,3,,"(0.3404410836048503, -0.9402658499562533)",552,715,"(552, 715)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,0.3404410836048503,-0.9402658499562532,19.903749537307835,169,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,4,,"(-0.04343722427630694, 0.9990561583550596)",556,682,"(556, 682)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,-0.0434372242763069,0.9990561583550596,182.48955292199915,228,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,5,,"(-0.1414213562373095, -0.9899494936611665)",557,724,"(557, 724)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,-0.1414213562373095,-0.9899494936611664,351.86989764584405,423,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
66b,2025-01-26,2025-01-26__66b_2025-01-26 11-28-07,66b_2025-01-26 11-28-07,6,,"(-0.666330983530245, -0.7456561006171789)",566,658,"(566, 658)",,66b_2025-01-26 11-28-07_waggle_annotations.csv,,,-0.666330983530245,-0.7456561006171789,318.2154839917482,576,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\dome\wrongcameraangle\20250126\2025-01-26 11-28-07.mkv,1,,,,,,,,,,,
