recording_type,source_file_type,source_batch,dance_key,dance_id,bee_id,date,time,condition,aperture,orientation_method,waggle_run,csv_file,video_name,direction_u,direction_v,video_angle_deg,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,start_x,start_y,start_xy,start_frame,annotation_session,notes,orientation_notes,calibration_video_name,calibration_R,declination_deg,calibration_notes,orientation_block,21_calibration_11-21-50_waggle_annotations.csv
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,5,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.983453188589073,0.1811624294769345,259.5625246488818,213.04443517166823,46.51808947721355,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,939,723,"(939, 723)",211,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,6,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9975751008362207,0.06959826284903865,266.0090869015702,213.04443517166823,52.96465172990196,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,969,674,"(969, 674)",257,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,7,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9990138064662086,0.04440061362072038,267.4551956201869,213.04443517166823,54.41076044851866,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,982,695,"(982, 695)",301,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,8,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9998220482235222,-0.018864566947613626,271.0809241866607,213.04443517166823,58.03648901499247,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,961,698,"(961, 698)",344,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,9,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9995120760870788,0.031234752377721213,268.2100893917539,213.04443517166823,55.165654220085685,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,948,691,"(948, 691)",389,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,10,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9998611400396,-0.016664352333993333,270.9548412538722,213.04443517166823,57.91040608220396,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,997,637,"(997, 637)",444,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,11,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-1.0,0.0,270.0,213.04443517166823,56.955564828331774,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,957,706,"(957, 706)",490,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,12,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9996144206527183,-0.027767067240353285,271.5911402711946,213.04443517166823,58.54670509952638,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,960,715,"(960, 715)",528,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,13,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9968981486534685,0.07870248542001067,265.4860115419987,213.04443517166823,52.441576370330495,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,940,702,"(940, 702)",571,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
horizontal,,horizontal_direct_20250119,horizontal_direct_20250119__22b__22b_00059,22b_00059,22b,20250119,,horizontal,,direct_compass,14,22b_00059_waggle_annotations.csv,C:\Users\frida\Documents\PhD\Waggle_dance\wd_SA2025\wd_annotator\mp4\20250119\00059.mp4,-0.9983713344239766,-0.057049790538512946,273.27048792318357,213.04443517166823,60.22605275151534,191.77443517166822,,3.7054944108372423,2,few_annotations,,19_00047_waggle_annotations.csv,19_00047,19_00047_waggle_annotations.csv,,,,,,,,958,718,"(958, 718)",614,1,direct calibration,,19_00047_waggle_annotations.csv,0.9979108817501073,-21.27,,,
