recording_type,source_file_type,source_batch,dancer_id,bee_id,dance_id,dance_key,waggle_run,stimulus,condition,notes,date,time_dance,csv_file,video_name,waggle_directions,direction_u,direction_v,video_angle_deg,start_x,start_y,start_xy,start_frame,annotation_session,orientation_method,true_north_video_deg,waggle_true_bearing_deg,mean_magnetic_north_deg,true_north_calibration_deg,compass_circular_sd_deg,calibration_n_annotations,calibration_quality_flag,reference_compass_file,assigned_calibration_file,calibration_id,calibration_file,reference_landmark_file,landmark_dance_file,landmark_calibration_deg,landmark_calibration_circular_sd_deg,north_relative_to_landmark_deg,landmark_dance_video_deg,landmark_dance_circular_sd_deg,sun_azimuth_deg,sun_elevation_deg,vertical_angle_corrected_deg,comb_skew_correction_status
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,8,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.7474093186836598, 0.6643638388299198)",-0.74740931868366,0.66436383882992,228.36646066343,973,727,"(973.0, 727.0)",645,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,9,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.507985019944294, 0.861365903383803)",-0.507985019944294,0.861365903383803,210.529705899934,899,684,"(899.0, 684.0)",705,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,10,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.6277524511897817, 0.7784130394753294)",-0.627752451189782,0.778413039475329,218.884496433715,848,625,"(848.0, 625.0)",808,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,11,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.4166547104932136, 0.9090648228942843)",-0.416654710493214,0.909064822894284,204.623564786164,877,618,"(877.0, 618.0)",856,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,12,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.7904150521752438, 0.612571665435814)",-0.790415052175244,0.612571665435814,232.224315694045,853,601,"(853.0, 601.0)",897,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,13,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.1414213562373095, 0.9899494936611665)",-0.14142135623731,0.989949493661167,188.130102354156,836,579,"(836.0, 579.0)",950,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,14,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.8755776840267941, 0.4830773429113347)",-0.875577684026794,0.483077342911335,241.113418233089,784,570,"(784.0, 570.0)",991,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,15,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.24253562503633297, 0.9701425001453319)",-0.242535625036333,0.970142500145332,194.036243467926,821,568,"(821.0, 568.0)",1029,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,16,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.4989644448669457, 0.8666224568741688)",-0.498964444866946,0.866622456874169,209.931511840508,812,503,"(812.0, 503.0)",1125,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
vertical,annotator_csv,vertical_20250119,22b,22b,22b_00028,vertical_20250119__22b__22b_00028,17,,vertical,,20250119,16:57:00,22b_00028_waggle_annotations.csv,C:/Users/frida/Documents/PhD/Waggle_dance/wd_SA2025/wd_annotator/mp4/20250119\00028.mp4,"(-0.6561787149247866, 0.7546055221635046)",-0.656178714924787,0.754605522163505,221.00908690157,764,493,"(764.0, 493.0)",1168,1,raw_vertical_uncalibrated,,,,,,,,,,,,,,,,,,,,,,not_corrected
